index,id-number,type,description,source
lfso.14lempr,833,Jobs,"Employment rate by sex, age, migration status, citizenship and educational attainment level. Only age = Y15-64",Eurostat
lfso.14loq,834,Jobs,"Self-declared over-qualified employees as percentage of the total employees by sex, age, migration status and educational attainment level. Only age = Y15-64",Eurostat
lfso.14luner,835,,"Unemployment rate by sex, age, migration status, citizenship and educational attainment level. Only age = Y15-64",Eurostat
lfso.14pciti,836,,"Population by sex, age, migration status and citizenship. Only age = Y15-64",Eurostat
lfso.14pcob,837,,"Population by sex, age, migration status and country of birth. Only age = Y15-64",Eurostat
lfso.14pcobp,838,,"Population by sex, age, migration status, country of birth and country of birth of parents. Only age = Y15-64",Eurostat
lfso.14purb,839,,"Population by sex, age, migration status and degree of urbanisation. Only age = Y15-64",Eurostat
lfso.17psobst,840,,Employees and family workers who wish to be self-employed by main reason for not being self-employed and sex,Eurostat
lfso.17seclnt,841,,Self-employed persons by number and importance of clients in the last 12 months and sex,Eurostat
lfso.17senees,842,,"Self-employed persons without employees by main reason for not having employees, sex and country of birth",Eurostat
lfso.17seworg,843,,"Self-employed persons having at least one client in the last 12 months by control over working time, and sex",Eurostat
lfst.hhantych,844,Jobs,"Average number of persons per household by household composition, number of children and age of youngest child",Eurostat
lfst.hhanwhtc,845,Jobs,"Average number of persons per household by household composition, number of children and working status within households",Eurostat
lfst.hhnhtych,846,,"Number of households by household composition, number of children and age of youngest child (1 000)",Eurostat
lfst.hhnhwhtc,847,,"Number of households by household composition, number of children and working status within households (1 000)",Eurostat
lfst.hhwhacc,848,,"Number of adults by working status within households, number of children and age of youngest child (1 000)",Eurostat
lfst.hhwhchit,849,Jobs,Average number of children per household by working status within households and household composition,Eurostat
lfst.hhwhnpt,850,,Number of persons by working status within households and household composition (1 000),Eurostat
lfst.r.lfu2gacu,851,,"Unemployment by sex, age, country of birth and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.lfu2ganu,852,,"Unemployment by sex, age, citizenship and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.pgauwsc,853,,"Population by sex, age, country of birth, labour status and degree of urbanisation. Only wstatus = POP. Only age = Y15-64",Eurostat
lfst.r.pgauwsn,854,,"Population by sex, age, citizenship, labour status and degree of urbanisation. Only wstatus = POP. Only age = Y15-64",Eurostat
migr.acq,855,,"Acquisition of citizenship by age group, sex and former citizenship. Only agedef = REACH",Eurostat
migr.acq1ctz,856,,"Acquisition of citizenship by age group, sex and level of human development of former citizenship. Only agedef = REACH",Eurostat
migr.asyctz,857,,Asylum applicants by citizenship till 2007 - annual data (rounded),Eurostat
migr.asydcfina,858,,"Final decisions in appeal or review on applications by citizenship, age and sex - annual data (rounded)",Eurostat
migr.asydcfsta,859,,"First instance decisions on applications by citizenship, age and sex - annual aggregated data (rounded)",Eurostat
migr.asydctzy,860,,Decisions on asylum applications by citizenship till 2007 - annual data (rounded),Eurostat
migr.asyresa,861,,"Resettled persons by age, sex and citizenship - annual data (rounded)",Eurostat
migr.asyunaa,862,,"Asylum applicants considered to be unaccompanied minors by citizenship, age and sex - annual data (rounded)",Eurostat
migr.asywitfina,863,,Decisions withdrawing status granted as final decision in appeal or review by type of status withdrawn - annual data (rounded),Eurostat
migr.asywitfsta,864,,"Decisions withdrawing status granted at first instance decision by type of status withdrawn, citizenship and reason - annual aggregated data (rounded)",Eurostat
migr.asywitha,865,,"Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data (rounded)",Eurostat
migr.dubdi,866,,"Decisions on incoming 'Dublin' requests by submitting country (PARTNER), type of decision, type of request, legal provision, sex and type of applicant",Eurostat
migr.dubdo,867,,"Decisions on outgoing 'Dublin' requests by receiving country (PARTNER), type of decision, type of request, legal provision, sex and type of applicant",Eurostat
migr.dubri,868,,"Incoming 'Dublin' requests by submitting country (PARTNER), type of request, legal provision, sex and type of applicant",Eurostat
migr.dubro,869,,"Outgoing 'Dublin' requests by receiving country (PARTNER), type of request, legal provision, sex and type of applicant",Eurostat
migr.dubrpeni,870,,"Pending 'Dublin' incoming requests by submitting country (PARTNER), type of request, sex and type of applicant",Eurostat
migr.dubrpeno,871,,"Pending 'Dublin' outgoing requests by receiving country (PARTNER), type of request, sex and type of applicant",Eurostat
migr.dubti,872,,"Incoming 'Dublin' transfers by submitting country (PARTNER), legal provision, duration of transfer, sex and type of applicant",Eurostat
migr.dubto,873,,"Outgoing 'Dublin' transfers by receiving country (PARTNER), legal provision, duration of transfer, sex and type of applicant",Eurostat
migr.dubtpeni,874,,"Pending incoming 'Dublin' transfers by submitting country (PARTNER), sex and type of applicant",Eurostat
migr.dubtpeno,875,,"Pending outgoing 'Dublin' transfers by receiving country (PARTNER), sex and type of applicant",Eurostat
migr.eiord,876,,Third country nationals ordered to leave - annual data (rounded),Eurostat
migr.eipre,877,,Third country nationals found to be illegally present - annual data (rounded),Eurostat
migr.eirt.agr,878,,Third-country nationals who have left the territory to a third country by type of agreement procedure and citizenship,Eurostat
migr.eirt.ass,879,,Third-country nationals who have left the territory by type of assistance received and citizenship,Eurostat
migr.eirt.des,880,,Third-country nationals who have left the territory to a third country by destination country and citizenship,Eurostat
migr.eirt.vol,881,,Third-country nationals who have left the territory by type of return and citizenship,Eurostat
migr.eirtn,882,,Third country nationals returned following an order to leave - annual data (rounded),Eurostat
migr.emi2,883,,Emigration by age and sex. Only agedef = REACH,Eurostat
migr.emi3nxt,884,,"Emigration by age group, sex and country of next usual residence. Only agedef = REACH",Eurostat
migr.emi4ctb,885,,"Emigration by age group, sex and country of birth. Only agedef = REACH",Eurostat
migr.emi5nxt,886,,Emigration by broad group of country of next usual residence,Eurostat
migr.imm11prv,887,,"Immigration by age group, sex and level of human development of the country of previous residence. Only agedef = REACH",Eurostat
migr.imm12prv,888,,Immigration by broad group of country of previous residence,Eurostat
migr.imm1ctz,889,,"Immigration by age group, sex and citizenship. Only agedef = REACH",Eurostat
migr.imm2ctz,890,,"Immigration by age, sex and broad group of citizenship. Only agedef = REACH",Eurostat
migr.imm3ctb,891,,"Immigration by age group, sex and country of birth. Only agedef = REACH",Eurostat
migr.imm4ctb,892,,"Immigration by age, sex and broad group of country of birth. Only agedef = REACH",Eurostat
migr.imm5prv,893,,"Immigration by age group, sex and country of previous residence. Only agedef = REACH",Eurostat
migr.imm6ctz,894,,"Immigration by sex, citizenship and broad group of country of birth",Eurostat
migr.imm7ctb,895,,"Immigration by sex, country of birth and broad group of citizenship",Eurostat
migr.imm8,896,,Immigration by age and sex. Only agedef = REACH,Eurostat
migr.imm9ctz,897,,"Immigration by age group, sex and level of human development of the country of citizenship. Only agedef = REACH",Eurostat
migr.pop1ctz,898,,"Population on 1 January by age group, sex and citizenship",Eurostat
migr.pop2ctz,899,,"Population on 1 January by age, sex and broad group of citizenship",Eurostat
migr.pop3ctb,900,,"Population on 1 January by age group, sex and country of birth",Eurostat
migr.pop4ctb,901,,"Population on 1 January by age, sex and broad group of country of birth",Eurostat
migr.pop5ctz,902,,"Population on 1 January by sex, citizenship and broad group of country of birth",Eurostat
migr.pop6ctb,903,,"Population on 1 January by sex, country of birth and broad group of citizenship",Eurostat
migr.pop7ctz,904,,"Population on 1 January by age group, sex and level of human development of the country of citizenship",Eurostat
migr.pop8ctb,905,,"Population on 1 January by age group, sex and level of human development of the country of birth",Eurostat
migr.reschange,906,,Change of immigration status permits by reason and citizenship,Eurostat
migr.resfas,907,,"First permits by reason, age, sex and citizenship",Eurostat
migr.resfirst,908,,"First permits by reason, length of validity and citizenship",Eurostat
migr.reslas,909,,"Long-term residents by age, sex and citizenship on 31 December of each year",Eurostat
migr.reslong,910,,Long-term residents by citizenship on 31 December of each year,Eurostat
migr.resltr,911,,Long-term residence permits issued during the year,Eurostat
migr.resshare,912,,Long-term residents among all non-EU citizens holding residence permits by citizenship on 31 December (%),Eurostat
migr.ressing,913,,"Single Permits issued by type of decision, length of validity",Eurostat
migr.resvalid,914,,"All valid permits by reason, length of validity and citizenship on 31 December of each year",Eurostat
migr.resvas,915,,"All valid permits by age, sex and citizenship on 31 December of each year",Eurostat
MS.MIL.MPRT.KD,916,,Arms imports (SIPRI trend indicator values),World Data Bank
MS.MIL.TOTL.P1,917,,"Armed forces personnel, total",World Data Bank
MS.MIL.XPND.CD,918,,Military expenditure (current USD),World Data Bank
MS.MIL.XPND.CN,919,,Military expenditure (current LCU),World Data Bank
MS.MIL.XPND.ZS,920,,Military expenditure (% of general government expenditure),World Data Bank
MS.MIL.XPRT.KD,921,,Arms exports (SIPRI trend indicator values),World Data Bank
NE.CON.GOVT.CD,922,,General government final consumption expenditure (current US$),World Data Bank
NE.CON.GOVT.CN,923,,General government final consumption expenditure (current LCU),World Data Bank
NE.CON.GOVT.KD,924,,General government final consumption expenditure (constant 2015 US$),World Data Bank
NE.CON.GOVT.KD.ZG,925,,General government final consumption expenditure (annual % growth),World Data Bank
NE.CON.GOVT.KN,926,,General government final consumption expenditure (constant LCU),World Data Bank
NE.CON.GOVT.ZS,927,,General government final consumption expenditure (% of GDP),World Data Bank
NE.CON.PRVT.CD,928,,Households and NPISHs Final consumption expenditure (current US$),World Data Bank
NE.CON.PRVT.CN,929,,Households and NPISHs Final consumption expenditure (current LCU),World Data Bank
NE.CON.PRVT.CN.AD,930,,Households and NPISHs final consumption expenditure: linked series (current LCU),World Data Bank
NE.CON.PRVT.KD,931,,Households and NPISHs Final consumption expenditure (constant 2015 US$),World Data Bank
NE.CON.PRVT.KD.ZG,932,,Households and NPISHs Final consumption expenditure (annual % growth),World Data Bank
NE.CON.PRVT.KN,933,,Households and NPISHs Final consumption expenditure (constant LCU),World Data Bank
NE.CON.PRVT.PP.CD,934,,"Households and NPISHs Final consumption expenditure, PPP (current international $)",World Data Bank
NE.CON.PRVT.PP.KD,935,,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",World Data Bank
NE.CON.TOTL.CD,936,,Final consumption expenditure (current US$),World Data Bank
NE.CON.TOTL.CN,937,,Final consumption expenditure (current LCU),World Data Bank
NE.CON.TOTL.KD,938,,Final consumption expenditure (constant 2015 US$),World Data Bank
NE.CON.TOTL.KD.ZG,939,,Final consumption expenditure (annual % growth),World Data Bank
NE.CON.TOTL.KN,940,,Final consumption expenditure (constant LCU),World Data Bank
NE.CON.TOTL.ZS,941,,Final consumption expenditure (% of GDP),World Data Bank
NE.DAB.DEFL.ZS,942,,Gross national expenditure deflator (base year varies by country),World Data Bank
NE.DAB.TOTL.CD,943,,Gross national expenditure (current US$),World Data Bank
NE.DAB.TOTL.CN,944,,Gross national expenditure (current LCU),World Data Bank
NE.DAB.TOTL.KD,945,,Gross national expenditure (constant 2015 US$),World Data Bank
NE.DAB.TOTL.KN,946,,Gross national expenditure (constant LCU),World Data Bank
NE.DAB.TOTL.ZS,947,,Gross national expenditure (% of GDP),World Data Bank
NE.EXP.GNFS.CD,948,,Exports of goods and services (current US$),World Data Bank
NE.EXP.GNFS.CN,949,,Exports of goods and services (current LCU),World Data Bank
NE.EXP.GNFS.KD,950,,Exports of goods and services (constant 2015 US$),World Data Bank
NE.EXP.GNFS.KD.ZG,951,,Exports of goods and services (annual % growth),World Data Bank
NE.EXP.GNFS.KN,952,,Exports of goods and services (constant LCU),World Data Bank
NE.EXP.GNFS.ZS,953,,Exports of goods and services (% of GDP),World Data Bank
NE.GDI.FTOT.CD,954,,Gross fixed capital formation (current US$),World Data Bank
NE.GDI.FTOT.CN,955,,Gross fixed capital formation (current LCU),World Data Bank
NE.GDI.FTOT.KD,956,,Gross fixed capital formation (constant 2015 US$),World Data Bank
NE.GDI.FTOT.KD.ZG,957,,Gross fixed capital formation (annual % growth),World Data Bank
NE.GDI.FTOT.KN,958,,Gross fixed capital formation (constant LCU),World Data Bank
NE.GDI.FTOT.ZS,959,,Gross fixed capital formation (% of GDP),World Data Bank
NE.GDI.STKB.CD,960,,Changes in inventories (current US$),World Data Bank
NE.GDI.STKB.CN,961,,Changes in inventories (current LCU),World Data Bank
NE.GDI.TOTL.CD,962,,Gross capital formation (current US$),World Data Bank
NE.GDI.TOTL.CN,963,,Gross capital formation (current LCU),World Data Bank
NE.GDI.TOTL.KD,964,,Gross capital formation (constant 2015 US$),World Data Bank
NE.GDI.TOTL.KD.ZG,965,,Gross capital formation (annual % growth),World Data Bank
NE.GDI.TOTL.KN,966,,Gross capital formation (constant LCU),World Data Bank
NE.GDI.TOTL.ZS,967,,Gross capital formation (% of GDP),World Data Bank
NE.IMP.GNFS.CD,968,,Imports of goods and services (current US$),World Data Bank
NE.IMP.GNFS.CN,969,,Imports of goods and services (current LCU),World Data Bank
NE.IMP.GNFS.KD,970,,Imports of goods and services (constant 2015 US$),World Data Bank
NE.IMP.GNFS.KD.ZG,971,,Imports of goods and services (annual % growth),World Data Bank
NE.IMP.GNFS.KN,972,,Imports of goods and services (constant LCU),World Data Bank
NE.IMP.GNFS.ZS,973,,Imports of goods and services (% of GDP),World Data Bank
NE.RSB.GNFS.CD,974,,External balance on goods and services (current US$),World Data Bank
NE.RSB.GNFS.CN,975,,External balance on goods and services (current LCU),World Data Bank
NE.RSB.GNFS.KN,976,,External balance on goods and services (constant LCU),World Data Bank
NE.RSB.GNFS.ZS,977,,External balance on goods and services (% of GDP),World Data Bank
NE.TRD.GNFS.ZS,978,,Trade (% of GDP),World Data Bank
NV.AGR.EMPL.KD,979,,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",World Data Bank
NV.AGR.TOTL.CD,980,,"Agriculture, forestry, and fishing, value added (current US$)",World Data Bank
NV.AGR.TOTL.CN,981,,"Agriculture, forestry, and fishing, value added (current LCU)",World Data Bank
NV.AGR.TOTL.KD,982,,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",World Data Bank
NV.AGR.TOTL.KD.ZG,983,,"Agriculture, forestry, and fishing, value added (annual % growth)",World Data Bank
NV.AGR.TOTL.KN,984,,"Agriculture, forestry, and fishing, value added (constant LCU)",World Data Bank
NV.AGR.TOTL.ZS,985,,"Agriculture, forestry, and fishing, value added (% of GDP)",World Data Bank
NV.IND.EMPL.KD,986,,"Industry (including construction), value added per worker (constant 2015 US$)",World Data Bank
NV.IND.MANF.CD,987,,"Manufacturing, value added (current US$)",World Data Bank
NV.IND.MANF.CN,988,,"Manufacturing, value added (current LCU)",World Data Bank
NV.IND.MANF.KD,989,,"Manufacturing, value added (constant 2015 US$)",World Data Bank
NV.IND.MANF.KD.ZG,990,,"Manufacturing, value added (annual % growth)",World Data Bank
NV.IND.MANF.KN,991,,"Manufacturing, value added (constant LCU)",World Data Bank
NV.IND.MANF.ZS,992,,"Manufacturing, value added (% of GDP)",World Data Bank
NV.IND.TOTL.CD,993,,"Industry (including construction), value added (current US$)",World Data Bank
NV.IND.TOTL.CN,994,,"Industry (including construction), value added (current LCU)",World Data Bank
NV.IND.TOTL.KD,995,,"Industry (including construction), value added (constant 2015 US$)",World Data Bank
NV.IND.TOTL.KD.ZG,996,,"Industry (including construction), value added (annual % growth)",World Data Bank
NV.IND.TOTL.KN,997,,"Industry (including construction), value added (constant LCU)",World Data Bank
NV.IND.TOTL.ZS,998,,"Industry (including construction), value added (% of GDP)",World Data Bank
NV.MNF.CHEM.ZS.UN,999,,Chemicals (% of value added in manufacturing),World Data Bank
NV.MNF.FBTO.ZS.UN,1000,,"Food, beverages and tobacco (% of value added in manufacturing)",World Data Bank
NV.MNF.MTRN.ZS.UN,1001,,Machinery and transport equipment (% of value added in manufacturing),World Data Bank
NV.MNF.OTHR.ZS.UN,1002,,Other manufacturing (% of value added in manufacturing),World Data Bank
NV.MNF.TECH.ZS.UN,1003,,Medium and high-tech manufacturing value added (% manufacturing value added),World Data Bank
NV.MNF.TXTL.ZS.UN,1004,,Textiles and clothing (% of value added in manufacturing),World Data Bank
NV.SRV.EMPL.KD,1005,,"Services, value added per worker (constant 2015 US$)",World Data Bank
NV.SRV.TOTL.CD,1006,,"Services, value added (current US$)",World Data Bank
NV.SRV.TOTL.CN,1007,,"Services, value added (current LCU)",World Data Bank
NV.SRV.TOTL.KD,1008,,"Services, value added (constant 2015 US$)",World Data Bank
NV.SRV.TOTL.KD.ZG,1009,,"Services, value added (annual % growth)",World Data Bank
NV.SRV.TOTL.KN,1010,,"Services, value added (constant LCU)",World Data Bank
NV.SRV.TOTL.ZS,1011,,"Services, value added (% of GDP)",World Data Bank
NY.ADJ.AEDU.CD,1012,,Adjusted savings: education expenditure (current US$),World Data Bank
NY.ADJ.DCO2.CD,1013,,Adjusted savings: carbon dioxide damage (current US$),World Data Bank
NY.ADJ.DFOR.CD,1014,,Adjusted savings: net forest depletion (current US$),World Data Bank
NY.ADJ.DKAP.CD,1015,,Adjusted savings: consumption of fixed capital (current US$),World Data Bank
NY.ADJ.DKAP.GN.ZS,1016,,Adjusted savings: consumption of fixed capital (% of GNI),World Data Bank
NY.ADJ.DMIN.CD,1017,,Adjusted savings: mineral depletion (current US$),World Data Bank
NY.ADJ.DNGY.CD,1018,,Adjusted savings: energy depletion (current US$),World Data Bank
NY.ADJ.DPEM.CD,1019,,Adjusted savings: particulate emission damage (current US$),World Data Bank
NY.ADJ.ICTR.GN.ZS,1020,,Adjusted savings: gross savings (% of GNI),World Data Bank
NY.ADJ.NNAT.CD,1021,,Adjusted savings: net national savings (current US$),World Data Bank
NY.ADJ.NNAT.GN.ZS,1022,,Adjusted savings: net national savings (% of GNI),World Data Bank
NY.ADJ.NNTY.CD,1023,,Adjusted net national income (current US$),World Data Bank
NY.ADJ.NNTY.KD,1024,,Adjusted net national income (constant 2015 US$),World Data Bank
NY.ADJ.NNTY.KD.ZG,1025,,Adjusted net national income (annual % growth),World Data Bank
NY.ADJ.NNTY.PC.CD,1026,,Adjusted net national income per capita (current US$),World Data Bank
NY.ADJ.NNTY.PC.KD,1027,,Adjusted net national income per capita (constant 2015 US$),World Data Bank
NY.ADJ.NNTY.PC.KD.ZG,1028,,Adjusted net national income per capita (annual % growth),World Data Bank
NY.ADJ.SVNG.CD,1029,,"Adjusted net savings, including particulate emission damage (current US$)",World Data Bank
NY.ADJ.SVNG.GN.ZS,1030,,"Adjusted net savings, including particulate emission damage (% of GNI)",World Data Bank
NY.ADJ.SVNX.CD,1031,,"Adjusted net savings, excluding particulate emission damage (current US$)",World Data Bank
NY.ADJ.SVNX.GN.ZS,1032,,"Adjusted net savings, excluding particulate emission damage (% of GNI)",World Data Bank
NY.EXP.CAPM.KN,1033,,Exports as a capacity to import (constant LCU),World Data Bank
NY.GDP.COAL.RT.ZS,1034,,Coal rents (% of GDP),World Data Bank
NY.GDP.DEFL.KD.ZG,1035,,"Inflation, GDP deflator (annual %)",World Data Bank
NY.GDP.DEFL.KD.ZG.AD,1036,,"Inflation, GDP deflator: linked series (annual %)",World Data Bank
NY.GDP.DEFL.ZS,1037,,GDP deflator (base year varies by country),World Data Bank
NY.GDP.DEFL.ZS.AD,1038,,GDP deflator: linked series (base year varies by country),World Data Bank
NY.GDP.DISC.CN,1039,,Discrepancy in expenditure estimate of GDP (current LCU),World Data Bank
NY.GDP.DISC.KN,1040,,Discrepancy in expenditure estimate of GDP (constant LCU),World Data Bank
NY.GDP.FCST.CD,1041,,Gross value added at basic prices (GVA) (current US$),World Data Bank
NY.GDP.FCST.CN,1042,,Gross value added at basic prices (GVA) (current LCU),World Data Bank
NY.GDP.FCST.KD,1043,,Gross value added at basic prices (GVA) (constant 2015 US$),World Data Bank
NY.GDP.FCST.KN,1044,,Gross value added at basic prices (GVA) (constant LCU),World Data Bank
NY.GDP.FRST.RT.ZS,1045,,Forest rents (% of GDP),World Data Bank
NY.GDP.MINR.RT.ZS,1046,,Mineral rents (% of GDP),World Data Bank
NY.GDP.MKTP.CD,1047,,GDP (current US$),World Data Bank
NY.GDP.MKTP.CN,1048,,GDP (current LCU),World Data Bank
NY.GDP.MKTP.CN.AD,1049,,GDP: linked series (current LCU),World Data Bank
NY.GDP.MKTP.KD,1050,,GDP (constant 2015 US$),World Data Bank
NY.GDP.MKTP.KD.ZG,1051,,GDP growth (annual %),World Data Bank
NY.GDP.MKTP.KN,1052,,GDP (constant LCU),World Data Bank
NY.GDP.MKTP.PP.CD,1053,,"GDP, PPP (current international $)",World Data Bank
NY.GDP.MKTP.PP.KD,1054,,"GDP, PPP (constant 2017 international $)",World Data Bank
NY.GDP.NGAS.RT.ZS,1055,,Natural gas rents (% of GDP),World Data Bank
NY.GDP.PCAP.CD,1056,,GDP per capita (current US$),World Data Bank
NY.GDP.PCAP.CN,1057,,GDP per capita (current LCU),World Data Bank
NY.GDP.PCAP.KD,1058,,GDP per capita (constant 2015 US$),World Data Bank
NY.GDP.PCAP.KD.ZG,1059,,GDP per capita growth (annual %),World Data Bank
NY.GDP.PCAP.KN,1060,,GDP per capita (constant LCU),World Data Bank
NY.GDP.PCAP.PP.CD,1061,,"GDP per capita, PPP (current international $)",World Data Bank
NY.GDP.PCAP.PP.KD,1062,,"GDP per capita, PPP (constant 2017 international $)",World Data Bank
NY.GDP.PETR.RT.ZS,1063,,Oil rents (% of GDP),World Data Bank
NY.GDP.TOTL.RT.ZS,1064,,Total natural resources rents (% of GDP),World Data Bank
NY.GDS.TOTL.CD,1065,,Gross domestic savings (current US$),World Data Bank
NY.GDS.TOTL.CN,1066,,Gross domestic savings (current LCU),World Data Bank
NY.GDS.TOTL.ZS,1067,,Gross domestic savings (% of GDP),World Data Bank
NY.GDY.TOTL.KN,1068,,Gross domestic income (constant LCU),World Data Bank
NY.GNP.ATLS.CD,1069,,"GNI, Atlas method (current US$)",World Data Bank
NY.GNP.MKTP.CD,1070,,GNI (current US$),World Data Bank
NY.GNP.MKTP.CN,1071,,GNI (current LCU),World Data Bank
NY.GNP.MKTP.CN.AD,1072,,GNI: linked series (current LCU),World Data Bank
NY.GNP.MKTP.KD,1073,,GNI (constant 2015 US$),World Data Bank
NY.GNP.MKTP.KD.ZG,1074,,GNI growth (annual %),World Data Bank
NY.GNP.MKTP.KN,1075,,GNI (constant LCU),World Data Bank
NY.GNP.MKTP.PP.CD,1076,,"GNI, PPP (current international $)",World Data Bank
NY.GNP.MKTP.PP.KD,1077,,"GNI, PPP (constant 2017 international $)",World Data Bank
NY.GNP.PCAP.CD,1078,,"GNI per capita, Atlas method (current US$)",World Data Bank
NY.GNP.PCAP.CN,1079,,GNI per capita (current LCU),World Data Bank
NY.GNP.PCAP.KD,1080,,GNI per capita (constant 2015 US$),World Data Bank
NY.GNP.PCAP.KD.ZG,1081,,GNI per capita growth (annual %),World Data Bank
NY.GNP.PCAP.KN,1082,,GNI per capita (constant LCU),World Data Bank
NY.GNP.PCAP.PP.CD,1083,,"GNI per capita, PPP (current international $)",World Data Bank
NY.GNS.ICTR.CD,1084,,Gross savings (current US$),World Data Bank
NY.GNS.ICTR.CN,1085,,Gross savings (current LCU),World Data Bank
NY.GSR.NFCY.CD,1086,,Net primary income (Net income from abroad) (current US$),World Data Bank
NY.GSR.NFCY.CN,1087,,Net primary income (Net income from abroad) (current LCU),World Data Bank
NY.TAX.NIND.CD,1088,,Taxes less subsidies on products (current US$),World Data Bank
NY.TAX.NIND.CN,1089,,Taxes less subsidies on products (current LCU),World Data Bank
NY.TAX.NIND.KN,1090,,Taxes less subsidies on products (constant LCU),World Data Bank
NY.TRF.NCTR.CD,1091,,Net secondary income (Net current transfers from abroad) (current US$),World Data Bank
NY.TRF.NCTR.CN,1092,,Net secondary income (Net current transfers from abroad) (current LCU),World Data Bank
NY.TRF.NCTR.KN,1093,,Net secondary income (Net current transfers from abroad) (constant LCU),World Data Bank
NY.TTF.GNFS.KN,1094,,Terms of trade adjustment (constant LCU),World Data Bank
PA.NUS.ATLS,1095,,DEC alternative conversion factor (LCU per US$),World Data Bank
PA.NUS.FCRF,1096,,"Official exchange rate (LCU per US$, period average)",World Data Bank
PA.NUS.PPP,1097,,"PPP conversion factor, GDP (LCU per international $)",World Data Bank
PA.NUS.PPPC.RF,1098,,Price level ratio of PPP conversion factor (GDP) to market exchange rate,World Data Bank
PA.NUS.PRVT.PP,1099,,"PPP conversion factor, private consumption (LCU per international $)",World Data Bank
PX.REX.REER,1100,,Real effective exchange rate index (2010 = 100),World Data Bank
SE.COM.DURS,1101,,"Compulsory education, duration (years)",World Data Bank
SE.PRE.ENRL.TC.ZS,1102,,"Pupil-teacher ratio, preprimary",World Data Bank
SE.PRE.ENRR,1103,,"School enrollment, preprimary (% gross)",World Data Bank
SE.PRE.ENRR.FE,1104,,"School enrollment, preprimary, female (% gross)",World Data Bank
SE.PRE.ENRR.MA,1105,,"School enrollment, preprimary, male (% gross)",World Data Bank
SE.PRM.ENRL,1106,,"Primary education, pupils",World Data Bank
SE.PRM.TCHR,1107,,"Primary education, teachers",World Data Bank
SE.PRM.UNER,1108,,"Children out of school, primary",World Data Bank
SE.SEC.ENRL,1109,,"Secondary education, pupils",World Data Bank
SE.SEC.ENRL.GC,1110,,"Secondary education, general pupils",World Data Bank
SE.SEC.ENRL.VO,1111,,"Secondary education, vocational pupils",World Data Bank
SE.SEC.TCHR,1112,,"Secondary education, teachers",World Data Bank
SE.SEC.TCHR.FE,1113,,"Secondary education, teachers, female",World Data Bank
SE.XPD.TERT.ZS,1114,,Expenditure on tertiary education (% of government expenditure on education),World Data Bank
SE.XPD.TOTL.GB.ZS,1115,,"Government expenditure on education, total (% of government expenditure)",World Data Bank
SE.XPD.TOTL.GD.ZS,1116,,"Government expenditure on education, total (% of GDP)",World Data Bank
SG.GEN.PARL.ZS,1117,Politics,Proportion of seats held by women in national parliaments (%),World Data Bank
SG.LAW.INDX,1118,Politics,Women Business and the Law Index Score (scale 1-100),World Data Bank
SH.ANM.ALLW.ZS,1119,,Prevalence of anemia among women of reproductive age (% of women ages 15-49),World Data Bank
SH.ANM.CHLD.ZS,1120,,Prevalence of anemia among children (% of children ages 6-59 months),World Data Bank
SH.ANM.NPRG.ZS,1121,,Prevalence of anemia among non-pregnant women (% of women ages 15-49),World Data Bank
SH.MMR.DTHS,1122,,Number of maternal deaths,World Data Bank
SH.MMR.RISK,1123,,Lifetime risk of maternal death (1 in: rate varies by country),World Data Bank
SH.MMR.RISK.ZS,1124,,Lifetime risk of maternal death (%),World Data Bank
SH.STA.BASS.RU.ZS,1125,,"People using at least basic sanitation services, rural (% of rural population)",World Data Bank
SH.STA.BASS.UR.ZS,1126,,"People using at least basic sanitation services, urban (% of urban population)",World Data Bank
SH.STA.BASS.ZS,1127,,People using at least basic sanitation services (% of population),World Data Bank
SH.STA.BRTC.ZS,1128,,Births attended by skilled health staff (% of total),World Data Bank
SH.STA.BRTW.ZS,1129,,Low-birthweight babies (% of births),World Data Bank
SH.STA.MMRT,1130,,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",World Data Bank
SH.STA.MMRT.NE,1131,,"Maternal mortality ratio (national estimate, per 100,000 live births)",World Data Bank
SH.STA.ODFC.RU.ZS,1132,,"People practicing open defecation, rural (% of rural population)",World Data Bank
SH.STA.ODFC.UR.ZS,1133,,"People practicing open defecation, urban (% of urban population)",World Data Bank
SH.STA.ODFC.ZS,1134,,People practicing open defecation (% of population),World Data Bank
SH.STA.POIS.P5,1135,,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",World Data Bank
SH.STA.POIS.P5.FE,1136,,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",World Data Bank
SH.STA.POIS.P5.MA,1137,,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",World Data Bank
SH.STA.SMSS.ZS,1138,,People using safely managed sanitation services (% of population),World Data Bank
SH.STA.SUIC.FE.P5,1139,,"Suicide mortality rate, female (per 100,000 female population)",World Data Bank
SH.STA.SUIC.MA.P5,1140,,"Suicide mortality rate, male (per 100,000 male population)",World Data Bank
